Date,Close,Difference,Return,Logarithmic Return
1/7/2022 16:00:00,21084.45,,,
1/14/2022 16:00:00,21357.56,273.11,0.012953,0.012870
1/21/2022 16:00:00,20621.39,-736.17,-0.034469,-0.035077
1/28/2022 16:00:00,20741.75,120.36,0.005837,0.005820
2/4/2022 16:00:00,21271.85,530.10,0.025557,0.025236
2/11/2022 16:00:00,21548.84,276.99,0.013021,0.012937
2/18/2022 16:00:00,21008.20,-540.64,-0.025089,-0.025409
2/25/2022 16:00:00,21106.00,97.80,0.004655,0.004645
3/4/2022 16:00:00,21402.43,296.43,0.014045,0.013947
3/11/2022 16:00:00,21461.83,59.40,0.002775,0.002772
3/18/2022 16:00:00,21818.47,356.64,0.016617,0.016481
3/25/2022 16:00:00,22005.94,187.47,0.008592,0.008556
4/1/2022 16:00:00,21952.95,-52.99,-0.002408,-0.002411
4/8/2022 16:00:00,21874.35,-78.60,-0.003580,-0.003587
4/14/2022 16:00:00,21855.70,-18.65,-0.000853,-0.000853
4/22/2022 16:00:00,21186.38,-669.32,-0.030625,-0.031103
4/29/2022 16:00:00,20762.00,-424.38,-0.020031,-0.020234
5/6/2022 16:00:00,20633.28,-128.72,-0.006200,-0.006219
5/13/2022 16:00:00,20099.81,-533.47,-0.025855,-0.026195
5/20/2022 16:00:00,20197.61,97.80,0.004866,0.004854
5/27/2022 16:00:00,20748.58,550.97,0.027279,0.026914
6/3/2022 16:00:00,20790.73,42.15,0.002031,0.002029
6/10/2022 16:00:00,20274.82,-515.91,-0.024814,-0.025127
6/17/2022 16:00:00,18930.48,-1344.34,-0.066306,-0.068606
6/24/2022 16:00:00,19062.91,132.43,0.006996,0.006971
6/30/2022 16:00:00,18861.36,-201.55,-0.010573,-0.010629
7/8/2022 16:00:00,19022.86,161.50,0.008562,0.008526
7/15/2022 16:00:00,18394.45,-628.41,-0.033034,-0.033592
7/22/2022 16:00:00,18982.92,588.47,0.031992,0.031491
7/29/2022 16:00:00,19692.92,710.00,0.037402,0.036720
8/5/2022 16:00:00,19620.13,-72.79,-0.003696,-0.003703
8/12/2022 16:00:00,20179.81,559.68,0.028526,0.028127
8/19/2022 16:00:00,20111.38,-68.43,-0.003391,-0.003397
8/26/2022 16:00:00,19873.29,-238.09,-0.011839,-0.011909
9/2/2022 16:00:00,19270.85,-602.44,-0.030314,-0.030783
9/9/2022 16:00:00,19773.34,502.49,0.026075,0.025741
9/16/2022 16:00:00,19385.88,-387.46,-0.019595,-0.019790
9/23/2022 16:00:00,18480.98,-904.90,-0.046678,-0.047803
9/30/2022 16:00:00,18444.22,-36.76,-0.001989,-0.001991
10/7/2022 16:00:00,18583.13,138.91,0.007531,0.007503
10/14/2022 16:00:00,18326.35,-256.78,-0.013818,-0.013914
10/21/2022 16:00:00,18860.95,534.60,0.029171,0.028754
10/28/2022 16:00:00,19471.19,610.24,0.032355,0.031842
11/4/2022 16:00:00,19449.81,-21.38,-0.001098,-0.001099
11/11/2022 16:00:00,20111.51,661.70,0.034021,0.033455
11/18/2022 16:00:00,19980.91,-130.60,-0.006494,-0.006515
11/25/2022 16:00:00,20383.77,402.86,0.020162,0.019962
12/2/2022 16:00:00,20485.66,101.89,0.004999,0.004986
12/9/2022 16:00:00,19947.07,-538.59,-0.026291,-0.026643
12/16/2022 16:00:00,19443.28,-503.79,-0.025256,-0.025581
12/23/2022 16:00:00,19506.65,63.37,0.003259,0.003254
12/30/2022 16:00:00,19384.92,-121.73,-0.006240,-0.006260